like1_1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parspread_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-1311.0,2.658,0.3257,0.883,0.521,19.45,11.516,0.1635,2.525,3.014,5.74,0.0,0.0,0.0,0.0,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605,0.0
-824.5,1.404,0.2908,0.813,0.5723,16.02,8.8,0.8267,0.6606,2.45,3.543,0.0,0.0,0.0,0.0,0.2974,0.0,0.0,0.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.0,0.0,0.0,0.0,0.0,0.0364,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.0919,0.1405,0.0,0.0,0.0,0.1592,0.0,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669,0.1837,0.02379,1.592,1.0
-1123.0,1.981,0.2148,0.851,0.6274,12.72,5.74,-0.1726,1.12,0.8066,2.28,0.0,0.0,0.0,0.0,0.1163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,3.324,2.0
-1544.0,3.31,0.3643,0.782,0.689,6.258,14.35,0.4963,1.535,1.907,1.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.867,3.0
-284.5,0.901,0.2512,0.915,0.463,9.76,17.31,1.151,2.043,1.383,4.566,0.0,0.0,0.0,0.0,0.3286,0.0,0.0,0.278,0.0,0.0,0.0,0.0,0.1163,0.002028,0.0,0.0,0.0,0.044,0.2961,0.0,0.0,0.0,0.0,0.0702,0.3513,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.3276,0.0,0.0,0.0,0.0,0.0,0.1837,0.4019,0.4285,0.0,0.0,0.0,0.2644,0.1592,0.2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1837,0.12054,0.5073,0.12054,-0.1705,4.0
-1455.0,3.105,0.2229,0.7666,0.625,8.586,13.984,1.289,2.756,2.234,3.855,0.0,0.0,0.0,0.0,0.002028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0
-638.5,1.044,0.2318,0.7964,0.629,12.42,5.727,0.648,0.4954,1.273,1.7,0.0,0.0,0.0,0.0,0.3289,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919,0.0,0.0,0.0,0.0,0.0,0.1592,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.1836,0.0,0.0,0.0,0.0,0.0,0.002028,0.2048,0.259,0.0,0.0,0.0,0.2825,0.002028,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364,0.1348,0.3125,0.02379,0.6387,1.0
-1255.0,2.328,0.2354,0.798,0.717,5.69,7.25,0.00455,0.5933,0.2644,0.3628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,2.0
-1320.0,2.633,0.2534,0.751,0.7026,6.523,8.58,0.1603,0.2778,0.782,2.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656,3.0
-211.2,0.901,0.2512,0.915,0.463,9.76,17.31,0.5854,2.043,1.383,4.566,0.0,0.0,0.0,0.0,0.401,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.1753,0.0364,0.0,0.0,0.0364,0.1348,0.3484,0.0,0.0,0.0,0.0,0.1163,0.3743,0.2336,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,0.0,0.0,0.0,0.0,0.0,0.2426,0.4285,0.4656,0.0,0.0,0.0,0.2961,0.2244,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.2426,0.1697,0.509,0.1837,-0.455,4.0
