,rrr_factor,alb_ice,alb_snow,alb_firn,albedo_aging,albedo_depth,center_snow_transfer,spread_snow_transfer,roughness_fresh_snow,roughness_ice,roughness_firn,mb,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,sim11,sim12,sim13,sim14,sim15,sim16,sim17,sim18,sim19,sim20,sim21,sim22,sim23,sim24,sim25,sim26,sim27,sim28,sim29,sim30,sim31,sim32,sim33,sim34,sim35,sim36,sim37,sim38,sim39,sim40,sim41,sim42,sim43,sim44,sim45,sim46,sim47,sim48,sim49,sim50,sim51,sim52,sim53,sim54,sim55,sim56,sim57,sim58,sim59,sim60,sim61,sim62
0,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
1,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
2,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
3,1.666638713115851,0.2500405026203072,0.8399614362680157,0.5549189440890896,15.54950199699468,15.532436014556948,1.0,1.0,0.24,1.7,4.0,0.5989986011091922,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.26953125,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14453125,0.29296875,0.37109375
4,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
5,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
6,1.664282198391604,0.2499031215368474,0.8398995815737613,0.5549516884752576,15.542161360263131,15.539199549993675,1.0,1.0,0.24,1.7,4.0,0.5920064542630253,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
7,1.665,0.25,0.84,0.5549999999999999,15.55,15.55,1.0,1.0,0.24,1.7,4.0,0.5939464720007469,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
8,1.664282198391604,0.2499031215368474,0.8398995815737613,0.5549516884752576,15.542161360263131,15.539199549993675,1.0,1.0,0.24,1.7,4.0,0.5920064542630253,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
9,1.6651754650662958,0.2499565783238474,0.8398137955802158,0.5548480639326856,15.540026820443526,15.527833226900736,1.0,1.0,0.24,1.7,4.0,0.5943817807184979,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.27734375,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375
